CNT,ESCS,PV1MATH,PV1READ,PV1SCIE,Expected Math,Residual
ALB,-0.7352505,368.68307,359.94812,376.23428,409.87152,-41.188446
ARE,0.31600884,435.9326,422.82294,438.2013,489.09866,-53.166077
ARG,-0.6665174,389.12677,412.91595,415.66904,415.0515,-25.924744
AUS,0.39037302,487.87097,500.1733,509.08176,494.70303,-6.832062
AUT,0.09049966,492.13232,485.18024,494.98898,472.1034,20.02893
BEL,0.11147856,493.96097,481.92358,495.0265,473.68445,20.27652
BGR,-0.26286954,418.51996,405.82663,422.40027,445.47205,-26.952087
BRA,-0.96131426,380.4209,415.1417,406.2538,392.83444,-12.413544
BRN,-0.27060354,440.30777,428.1827,445.01602,444.8892,-4.581421
CAN,0.33158398,485.09683,490.81494,500.12494,490.27246,-5.1756287
CHE,0.17448974,506.5265,481.16708,501.50073,478.4332,28.093292
CHL,-0.24375103,430.07828,467.13388,465.08398,446.9129,-16.834625
COL,-0.9498602,392.02197,419.9646,422.6057,393.69766,-1.6756897
CRI,-0.46241504,384.5827,415.5681,411.72736,430.4335,-45.8508
CZE,-0.013357788,499.48477,499.98706,510.57443,464.27628,35.208496
DEU,-0.12504166,481.8251,485.90787,499.68744,455.8593,25.96579
DNK,0.3364892,479.18243,478.51065,480.738,490.64215,-11.459717
DOM,-0.7061009,340.18808,354.6495,361.89767,412.06836,-71.88028
ESP,0.023924079,481.74765,482.2355,493.51212,467.08597,14.661682
EST,0.18296999,513.19574,514.9679,527.79877,479.07233,34.123413
FIN,0.19136642,476.08353,479.29053,498.53543,479.7051,-3.621582
FRA,-0.061908785,468.23154,467.99817,481.45642,460.61725,7.6142883
GBR,0.10939699,483.99478,493.1352,493.68332,473.52756,10.467224
GEO,-0.4471377,391.27112,374.89548,386.24655,431.58484,-40.31372
GRC,-0.13449797,434.5204,441.83844,445.81927,455.14664,-20.626251
GTM,-1.4366199,345.65225,377.0978,374.67484,357.0135,-11.361237
HKG,-0.44945785,545.577,504.36664,524.97076,431.41,114.16702
HRV,-0.15229043,463.1752,475.07428,483.31573,453.80573,9.369476
HUN,0.06050297,480.97604,479.55878,492.69476,469.8427,11.133331
IDN,-1.433855,378.31476,372.6337,394.9756,357.22186,21.092896
IRL,0.34223172,493.35825,518.53357,505.02573,491.07492,2.2833252
ISL,0.38373587,458.78415,436.62482,448.33694,494.20285,-35.4187
ISR,0.24728975,458.12067,474.10922,465.20547,483.9197,-25.799042
ITA,-0.09584466,475.4169,480.84787,481.48972,458.05972,17.357178
JAM,-0.57405835,370.81253,399.8907,396.89972,422.0196,-51.20706
JOR,-0.7936347,359.46616,342.2885,374.96747,405.47144,-46.00528
JPN,-0.024640258,535.8443,515.62646,545.874,463.42596,72.418335
KAZ,-0.26998088,445.98972,404.45612,441.10846,444.9361,1.0536194
KHM,-1.9474539,326.41107,321.22687,340.64456,318.51495,7.896118
KOR,0.23391682,532.065,519.5974,531.2604,482.91187,49.153137
KSV,-0.35358554,352.827,337.9828,353.72992,438.6353,-85.80832
LTU,0.032887466,472.9563,467.0879,480.76974,467.7615,5.1947937
LVA,-0.009726344,482.6692,475.4224,493.18634,464.54996,18.119232
MAC,-0.44837862,551.6273,509.4705,543.04596,431.49133,120.13599
MAR,-1.7092944,364.0219,337.5682,363.48822,336.46362,27.558289
MDA,-0.5046197,415.8786,412.01224,416.87488,427.25278,-11.374176
MEX,-0.9188727,394.9273,416.13593,410.768,396.03302,-1.1057129
MKD,-0.2694078,391.11685,361.28757,383.1632,444.9793,-53.862457
MLT,0.0470883,469.94754,450.18698,470.48193,468.83173,1.1158142
MNE,-0.19061308,406.123,406.4094,404.9261,450.9176,-44.794617
MNG,-0.73120975,424.6096,376.97314,411.4393,410.17603,14.433563
MYS,-0.6586452,409.42828,390.25592,417.20764,415.6448,-6.216522
NLD,0.23641549,492.22705,460.30106,488.48682,483.1002,9.126862
NOR,0.5221305,470.4266,479.51614,481.34308,504.6328,-34.206207
NZL,0.21864416,478.6106,502.17508,506.07245,481.76086,-3.1502686
PAN,-0.9357432,353.63297,387.33078,384.9303,394.76157,-41.1286
PER,-1.0899659,394.23425,411.34702,411.0537,383.13873,11.09552
PHL,-1.3046974,353.51685,345.97473,353.98135,366.9557,-13.438843
POL,-0.06599198,495.1602,495.45547,505.42517,460.30954,34.850647
PRT,-0.2042418,476.1268,482.78018,488.4569,449.89047,26.236328
PRY,-1.1826597,340.87634,376.80252,371.89984,376.15295,-35.27661
PSE,-0.9060278,363.7282,348.02838,367.1528,397.00104,-33.272827
QAT,0.1056237,412.1317,415.7709,429.1855,473.2432,-61.11148
QAZ,-0.45992985,399.6056,366.94763,381.8653,430.6208,-31.015198
QUR,-0.292585,443.17343,429.75156,453.0848,443.23257,-0.059143066
ROU,-0.28209424,435.3676,435.84097,436.607,444.0232,-8.655579
SAU,-0.27330893,390.16553,383.14212,390.52753,444.6853,-54.519775
SGP,0.2896697,574.7427,545.0571,561.3163,487.11365,87.62903
SLV,-1.2838906,346.21466,369.6756,375.68802,368.52377,-22.309113
SRB,-0.1994923,439.43036,441.98453,447.06927,450.2484,-10.818054
SVK,-0.25711268,468.8852,452.0684,467.313,445.9059,22.979279
SVN,0.15252583,472.15353,455.9881,487.52902,476.77792,-4.6243896
SWE,0.32886752,483.41528,488.38208,495.54462,490.06775,-6.652466
TAP,-0.2804161,534.5301,505.26132,527.4236,444.14966,90.38043
THA,-0.9529584,415.07822,397.45972,429.4934,393.46417,21.614044
TUR,-1.215413,452.28082,454.55527,476.08044,373.68454,78.59628
URY,-0.8123782,409.12286,430.5052,433.6274,404.05887,5.0639954
USA,0.040537022,461.9467,503.29736,498.60403,468.33798,-6.3912964
UZB,-0.6771778,364.33484,336.64685,355.26596,414.2481,-49.91327
VNM,-1.2925878,469.36868,461.43033,473.3375,367.86832,101.50037
