CNT,Native-Immigrant Math Gap
KHM,108.99393
DEU,98.02893
TAP,94.10715
NLD,82.64789
KOR,80.79968
FIN,79.5885
IDN,79.57297
QUR,77.0751
MNG,75.23157
SWE,74.84421
FRA,74.693634
MEX,66.01007
BEL,63.807587
SVN,63.6062
TUR,59.99051
DNK,59.396057
POL,56.967926
ISR,56.68048
BRA,56.11853
CZE,55.876038
AUT,55.151733
ITA,54.912354
GRC,54.65985
ESP,52.13449
CHE,51.308014
THA,50.642303
PHL,49.675507
PRT,47.2912
MAR,44.47281
MDA,43.261475
ISL,43.05591
CHL,40.823822
NOR,40.743774
MYS,37.027527
PSE,35.86377
EST,33.71042
UZB,28.427155
JAM,27.768433
HKG,26.709595
USA,26.137787
MKD,23.493256
ALB,21.697266
COL,19.522644
QAZ,19.461273
CRI,19.318329
VNM,18.399628
BGR,14.54834
ARG,14.252747
GEO,13.596832
IRL,12.897675
DOM,12.12796
HRV,11.695587
SVK,11.511475
KAZ,6.8854675
HUN,5.893158
PER,5.3057556
LVA,5.130615
SRB,3.6428223
MNE,3.3730469
GBR,1.1358643
KSV,-0.67181396
JOR,-1.1111755
SLV,-1.6650391
NZL,-4.5749207
CAN,-8.170898
MLT,-13.899628
PRY,-14.56366
GTM,-15.109253
ROU,-15.323639
URY,-16.068542
AUS,-16.897156
MAC,-21.751587
LTU,-22.822327
SGP,-24.862854
SAU,-29.030548
PAN,-51.999695
BRN,-62.55121
QAT,-77.74371
ARE,-93.39795
JPN,
