CNT,PV1MATH,PV1READ,PV1SCIE
SGP,574.2388,544.38324,560.8252
MAC,551.66205,509.46857,543.1331
HKG,545.45386,503.67465,524.5497
JPN,535.5592,515.331,545.5399
TAP,534.0154,504.59912,526.82245
KOR,531.3852,519.30505,530.6552
EST,512.6797,514.27496,527.3109
CHE,506.5026,481.01785,501.41232
CZE,499.56,499.80124,510.78723
POL,494.84695,494.74182,505.14996
BEL,493.9985,481.59225,495.00146
IRL,492.9117,518.04,504.37497
AUT,491.17456,484.1665,494.0894
NLD,491.0731,458.5294,486.83804
AUS,486.8297,498.94058,507.77945
CAN,484.47015,489.77197,499.4697
GBR,482.54276,490.76163,492.2651
LVA,482.46124,474.65802,492.5822
SWE,482.02994,486.6067,494.1717
ESP,480.91504,480.96155,492.9236
HUN,480.557,479.59225,492.10684
DNK,478.41122,477.55414,480.33685
DEU,477.77478,482.13467,495.2547
NZL,477.58105,500.89304,504.8458
PRT,475.74725,482.284,488.26678
FIN,475.27618,477.9792,497.96487
ITA,475.22623,480.37183,481.3281
LTU,472.3927,466.4023,480.05353
SVN,472.11465,455.7964,487.1098
MLT,469.42786,448.78198,469.83603
VNM,469.36868,461.43033,473.3375
SVK,468.54065,451.71484,467.26944
NOR,468.4518,477.41205,478.9396
FRA,468.09494,467.75742,481.38333
HRV,462.9666,474.78946,483.12823
USA,461.8733,502.93805,498.2506
ISL,458.05753,435.35187,448.05457
ISR,456.9151,472.699,464.07767
TUR,452.23535,454.42172,476.02765
KAZ,445.94275,404.38675,440.97552
QUR,444.4745,431.09372,454.49173
BRN,440.2132,428.14404,444.88486
SRB,439.17374,441.98102,446.7715
ROU,435.18784,435.6847,436.49042
GRC,434.1955,441.4583,445.4408
ARE,434.06137,420.3187,435.96094
CHL,428.60254,465.3879,463.10574
MNG,424.5969,376.87402,411.41415
BGR,418.27734,404.99976,421.98718
MDA,415.89023,411.9912,416.86905
THA,414.84015,397.137,429.18628
QAT,411.48883,414.33484,428.82462
MYS,409.40607,390.0665,417.19797
URY,409.00284,430.33047,433.28912
MNE,405.95697,406.53186,404.9706
QAZ,399.18454,366.3079,381.55713
MEX,394.88428,416.00903,410.79688
PER,393.94336,411.0554,410.8352
COL,390.86923,418.59973,420.94577
MKD,390.4646,360.5349,382.35742
GEO,390.3296,373.81842,385.6145
SAU,390.0565,383.15665,390.16788
ARG,388.84225,412.60638,415.05847
CRI,384.37762,415.19183,411.20825
BRA,380.2695,414.81506,406.337
IDN,378.8025,372.88083,394.99063
JAM,370.34222,399.36902,395.71136
ALB,368.473,359.31433,375.86502
UZB,364.3759,336.60547,355.34067
MAR,363.8978,337.33984,363.4098
PSE,363.69516,347.68036,367.0259
JOR,359.3506,341.90985,374.69904
PAN,353.9036,386.74777,385.0859
PHL,353.51196,345.9656,353.77237
KSV,352.65002,337.6973,353.5723
SLV,345.9916,368.9777,374.98425
GTM,345.51965,376.93753,374.5886
PRY,340.6018,376.47385,371.68933
DOM,339.79724,353.96112,361.61996
KHM,326.0757,320.97168,340.46588
